电影名称,评价分数,评论人数,导演,主演,上映时间,出品地,剧情类别,电影标题图链接
肖申克的救赎,9.7,3157752,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,9.6,2331457,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情 爱情 同性,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
泰坦尼克号,9.5,2395281,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,1997,美国 墨西哥,剧情 爱情 灾难,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
阿甘正传,9.5,2346715,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情 爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg
千与千寻,9.4,2438943,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
美丽人生,9.5,1431132,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
这个杀手不太冷,9.4,2477270,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国 美国,剧情 动作 犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913554676.jpg
星际穿越,9.4,2071219,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大,剧情 科幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
盗梦空间,9.4,2242379,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 科幻 悬疑 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
楚门的世界,9.4,1923950,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 科幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
辛德勒的名单,9.5,1208111,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
忠犬八公的故事,9.4,1495578,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,2009,美国 英国,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg
海上钢琴师,9.3,1818267,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 音乐,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2914698334.jpg
三傻大闹宝莱坞,9.2,2006810,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
疯狂动物城,9.2,2156213,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,2016,美国,喜剧 动画 冒险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2323981221.jpg
放牛班的春天,9.3,1423889,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 音乐,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg
机器人总动员,9.3,1431201,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,2008,美国,科幻 动画 冒险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
无间道,9.3,1502027,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002,中国香港,剧情 犯罪 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
控方证人,9.6,665290,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,剧情 犯罪 悬疑 惊悚,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2911817201.jpg
大话西游之大圣娶亲,9.2,1653820,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
熔炉,9.3,1005080,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
触不可及,9.3,1240222,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,,2011,法国,剧情 喜剧,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
教父,9.3,1060958,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,1972,美国,剧情 犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
寻梦环游记,9.1,1880301,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,2017,美国,喜剧 动画 奇幻 音乐,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg
当幸福来敲门,9.1,1635736,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg
肖申克的救赎,9.7,3157752,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,9.6,2331457,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情 爱情 同性,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
泰坦尼克号,9.5,2395281,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,1997,美国 墨西哥,剧情 爱情 灾难,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
